Post Link,Title,DateTime,Reactions,Shares,Desc,Images,Links,Video,All Text,Visible Comments,PostID,Reactions URL
https://www.facebook.com/1617783978522514/photos/a.1617800655187513.1073741829.1617783978522514/1617815308519381/?type=3,When #Kalypo is the missing ingredient! :)  #kalypochallenge,"Wednesday, October 12, 2016 at 4:11pm",,,,https://fb-s-d-a.akamaihd.net/h-ak-xlp1/v/t1.0-0/s526x395/14656365_1617815308519381_5831984386133138196_n.jpg?oh=337239e3a5f3e79ff83cfd5a69be1ddf&oe=58C7BB00&__gda__=1488189183_12fd9dc28b203eb31988e7f523bac5d5,,,Like PageKalypoChallengeOctober 12 · When #Kalypo is the missing ingredient! :)  #kalypochallenge,22 2LikeLikeLoveHahaWowSadAngryCommentShare,1617815308519381,
https://www.facebook.com/maveen.gee1/posts/1130925760319106?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG8gY2hhbGxlbmdlLGNoYWxsZW5nZSxrYWx5cG8%3D,Is now Kalypo challenge...😀😀😀  So NPP flagbearer Nana Addo was sported drinking Kalypo enti no most pipo are throwing a challenge. Comment ya kalypo pic challenge #DropYaPic... #KalypoChallenge #Im4Nana See More,"Thursday, October 6, 2016 at 2:21pm",,,,"https://fb-s-b-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/s480x480/14462718_1130925700319112_8538537463234058593_n.jpg?oh=4aadf7b1497e0ae412e6e176af1c6ba2&oe=58B1B8C7&__gda__=1488860364_540a9944b2715c82a622ad0e7a819e1a

https://fb-s-a-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/s480x480/14495412_1130925740319108_6730752116623919903_n.jpg?oh=b6bcab57a831d8014852f83f2a9ccb88&oe=58FB7B0C&__gda__=1492708398_6e4131bc55437f051a7b7cb05a1882c2",,,Mavis Owusu added 2 new photos.October 6 · Is now Kalypo challenge...😀😀😀  So NPP flagbearer Nana Addo was sported drinking Kalypo enti no most pipo are throwing a challenge. Comment ya kalypo pic challenge #DropYaPic... #KalypoChallenge #Im4Nana See More,8 Comments29454303 Obaa Sergio and 302 othersLikeShow more reactionsCommentShare,1130925760319106,
https://www.facebook.com/omgvoice/posts/1239087369476745?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,This #KalypoChallenge has gotten outta hand ... 😂😂,"Monday, October 10, 2016 at 10:00am",,,+3,"https://fb-s-a-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/p235x165/14666212_1239084352810380_8062717728814478447_n.jpg?oh=750841160f696c15e32598f83f9c024f&oe=58B9FF4E&__gda__=1488674885_a2d8ee2e250c2d4dc218723e237954cf

https://fb-s-a-a.akamaihd.net/h-ak-xfa1/v/t1.0-0/p235x165/14563289_1239082882810527_4024852418763590567_n.jpg?oh=fb4f33e82ce010b462df08120b56e8b8&oe=58CA0176&__gda__=1492535290_d1d598a2e076430375abccc819569866

https://fb-s-c-a.akamaihd.net/h-ak-xla1/v/t1.0-0/s417x417/14523113_1239083102810505_5744563804857636189_n.jpg?oh=2ed7a477e361cd42ffe53523721d1aef&oe=58FBEA96&__gda__=1488079155_b50bfb040aa03387593f55a2407e55dc

https://fb-s-a-a.akamaihd.net/h-ak-xla1/v/t1.0-0/s417x417/14650326_1239083746143774_5571162726236337075_n.jpg?oh=bf75ed79ab27fa7e96bab76873ebf79a&oe=58C7CD03&__gda__=1488711334_4181ae7ce01bae5bd6d15dfe6c8a76dd",,,Like PageOMGVoice added 6 new photos.October 10 · This #KalypoChallenge has gotten outta hand ... 😂😂 the craziest photos here >> http://omgv.io/2e21ZnU | the winners of the challenge here >> http://omgv.io/2dHHqdw Who do we blame?+3,16 Comments16 Shares227271256 256LikeLikeLoveHahaWowSadAngryCommentShare,1239087369476745,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154675877648689/?type=3,It's game over #kalypochallenge,"Saturday, October 8, 2016 at 10:18am",,,,https://fb-s-d-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/p480x480/14600938_10154675877648689_1198130540446949302_n.jpg?oh=585b07207ef99e3248f9d77eb0dc2625&oe=58FCA559&__gda__=1488922930_644033f061970781e7b6df12f0e9b904,,,Like PageAmeyaw DebrahOctober 8 · It's game over #kalypochallenge,"297 Comments1.1K Shares2.2K531332.8K Awurama Nkrumah, Monique Gyenfi and 2.8K othersLikeShow more reactionsCommentShare",10154675877648689,
https://www.facebook.com/PulseGhana/posts/1057788604319357?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#PulseNews Kalyppo responds to 'Nana Kalyppo Challenge'.,"Friday, October 7, 2016 at 8:19pm",,,#KalypoChallenge: Kalyppo responds to Nana Kalyppo crazeA picture of the NPP’s Presidential nominee sipping Kalyppo fruit juice which was meant to possibly mock Nana Akuffo Addo has interestingly started a social…pulse.com.gh|By Magdalene Teiko Larnyoh,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAedgnGReKxlr90&w=470&h=246&url=http%3A%2F%2Fstatic.pulse.com.gh%2Fimg%2Fincoming%2Fcrop5580408%2F896184725-chorizontal-w470-h246%2F2cc16393ec8cbc5ece3c02a1da1f0778-XL.jpg&cfs=1&upscale=1&hash=AQCt7yltFPs8IvX1,http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F2dS8Dbe&h=rAQH-WfOM&enc=AZOqGFa67mdmiBTGcwClwv29UVI9I7z144QQQ-iTxpVa7zY1HYvt1rF6Zb9nDOhPrHMFEh31OrGAYoxwfujSOqiBe26vWTKW1LRQjhjps_iNckKM6D8x3xlOzHEV0DHitnDcuFdCQkReqar0-DeQ3Ch-P908XQawiZs6LRA8DOvmPszWZn-eB7x9ccHgbGds5NYd1Hs0QgW5Q6m_kGuh5g70&s=1,,Like PagePulse GhanaOctober 7 · #PulseNews Kalyppo responds to 'Nana Kalyppo Challenge'. Get details here: > http://bit.ly/2dS8Dbe#KalypoChallenge: Kalyppo responds to Nana Kalyppo crazeA picture of the NPP’s Presidential nominee sipping Kalyppo fruit juice which was meant to possibly mock Nana Akuffo Addo has interestingly started a social…pulse.com.gh|By Magdalene Teiko Larnyoh,8 Comments2 Shares17161178 178LikeLikeLoveHahaWowSadAngryCommentShare,1057788604319357,
https://www.facebook.com/owusu.isaac.75/posts/10210499107491822?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#kalypochallenge Me too I drink some ooooooo,"Friday, October 7, 2016 at 10:18am",,,,"https://fb-s-c-a.akamaihd.net/h-ak-xpa1/v/t1.0-0/s480x480/14581382_10210499106611800_8048393279263755218_n.jpg?oh=ae690b1543a9016b23ee380e0675211c&oe=58BE7BBF&__gda__=1489402013_91dd3e840eb2032cb519cbfbcff9f804

https://fb-s-c-a.akamaihd.net/h-ak-xpa1/v/t1.0-0/s480x480/14568237_10210499107171814_3120040151823975384_n.jpg?oh=eb334ccbe517542e9e8ec1ba94203514&oe=58B1F7E3&__gda__=1489620161_79dc4a653a09e7a61eae3879321b1259",,,Ike Kwame Owusu added 2 new photos.October 7 · #kalypochallenge Me too I drink some ooooooo,25 Comments1 Share19632201 201LikeLikeLoveHahaWowSadAngryShare,10210499107491822,
https://www.facebook.com/ameyawofficial/posts/10154675613238689?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#kalypochallenge people dey town,"Saturday, October 8, 2016 at 8:15am",,,+6,"https://scontent.xx.fbcdn.net/v/t1.0-9/s851x315/14632948_10154675611508689_5964367408941389048_n.jpg?oh=0bf95b32abcf1b94572a993066ded5bc&oe=58C10572

https://fb-s-d-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/s280x280/14520533_10154675611598689_4173093085056355081_n.jpg?oh=5ecd2edd702342fcdfe04b0440f316e5&oe=58C3CCAE&__gda__=1489248401_3a47d6ecb0f9e993baa44185a7ed6399

https://fb-s-b-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/s280x280/14484865_10154675612128689_3039650390328717160_n.jpg?oh=bb249a27a7521e0e3d1328da8e4634ea&oe=58C9FF1F&__gda__=1488730144_0a53816eb9388abbd95b710b0d722b33

https://fb-s-d-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/s280x280/14517419_10154675612293689_3072811353238857480_n.jpg?oh=7fea0b46ab2eabd7bf3f7df9cbc416fe&oe=58B8C698&__gda__=1489484967_be87bd77d9f81e80a66d4e278d915bf7",,,Like PageAmeyaw Debrah added 9 new photos.October 8 · #kalypochallenge people dey town+6,19 Comments16 Shares33394347 347LikeLikeLoveHahaWowSadAngryCommentShare,10154675613238689,
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=666511386857944&set=a.174834016025686.1073741828.100004972654842&type=3,"Today.is kalypo wednesday ","Wednesday, November 23, 2016 at 7:53am",,,,https://scontent.xx.fbcdn.net/v/t1.0-9/15179179_666511386857944_6412320441842220021_n.jpg?oh=8a23869f447bd06fc0693ddf36bb8e79&oe=58BFFB5C,,,Osonoba Bonch JuniorNovember 23 at 7:53am · Today.is kalypo wednesday  #Kalypochallenge,1 Comment77 7LikeLikeLoveHahaWowSadAngryCommentShare,666511520191264,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154690016453689/?type=3,Surprise surprise..guess who took the #kalypochallenge,"Wednesday, October 12, 2016 at 7:18pm",,,,https://fb-s-a-a.akamaihd.net/h-ak-xal1/v/t1.0-0/s526x395/14718611_10154690016453689_5674233974451393209_n.jpg?oh=b78b2c9c81a66370abdf7953a24b2e6e&oe=58B35CD9&__gda__=1492904408_315f762ea04b63ef32060bcb91e99c07,,,Like PageAmeyaw DebrahOctober 12 · Surprise surprise..guess who took the #kalypochallenge,68 Comments103 Shares6009011710 710LikeLikeLoveHahaWowSadAngryCommentShare,10154690016453689,
https://www.facebook.com/PulseGhana/posts/1057029234395294?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#PulseElections #KalypoChallenge : Social media goes frenzy over Nana Addo's Kalypo's photo.,"Thursday, October 6, 2016 at 8:00pm",,,A picture of the NPP’s flagbearer sipping Kalypo fruit juice which was meant to possibly mock...The challenge which is named ‘KalypoChallenge’ has caught on with a number of people believed to be pro-NPP.pulse.com.gh|By Magdalene Teiko Larnyoh,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDm7ZSjJ89XCPjM&w=470&h=246&url=http%3A%2F%2Fstatic.pulse.com.gh%2Fimg%2Fincoming%2Fcrop5574671%2F5531842396-chorizontal-w470-h246%2F2cc16393ec8cbc5ece3c02a1da1f0778-XL.jpg&cfs=1&upscale=1&hash=AQBDejT6YAhyGEtl,http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F2dBCiXG&h=mAQG8Ebet&enc=AZPxViKQR-ODzIGgksDGQ_vZczPQdzGXHTpYZ4y7S9eNGSLpyXBdnDi4xnKvNBQtctNZn4AfRDXjW7K_lX8Dmrkibz1ltllY-KE9xiu0qdgGIdLhQxL0igG1fO9H75fhiHSsBkOVBouwGNxmTRmwwQhhBHBUZd0Umzevgx7VlOSJ3Ew248Bfs-cjLoH6oxhqmdeQG77Hy-L9xd4vc5SKKykQ&s=1,,Like PagePulse GhanaOctober 6 · #PulseElections #KalypoChallenge : Social media goes frenzy over Nana Addo's Kalypo's photo. Get details here: > http://bit.ly/2dBCiXGA picture of the NPP’s flagbearer sipping Kalypo fruit juice which was meant to possibly mock...The challenge which is named ‘KalypoChallenge’ has caught on with a number of people believed to be pro-NPP.pulse.com.gh|By Magdalene Teiko Larnyoh,2 Comments4 Shares10632111 111LikeLikeLoveHahaWowSadAngryCommentShare,1057029234395294,
