Title,DateTime,Post Number,
Grab a kalypo challenge. #ariseforchange,10/4/16 3:14 PM,827,
Hahahahaha.... #KalypoChallenge !!! Don't you love Ghana ?  Oya make I go grab my Kalypo...,10/4/16 5:19 PM,226,
Pls where do I get Kalypo to buy in Badagry?  #KalypoChallenge,10/4/16 6:12 PM,649,
All the saints who hailed Mahama for saying he's rather lose than to pay teacher training allowance should come again ooooo...I hear indecisive Mahama says he's gonna pay now else you'd be seen as sinners.. George Sarpong I need your Kalypo pic #KalypoChallenge,10/4/16 6:53 PM,405,
Kalypo is the new swag... Jollof is still Bae Don't forget your straw. ,10/4/16 10:13 PM,298,
Expect shortage of Kalypo juice drink tomorrow in Ho.,10/4/16 10:37 PM,293,
"Good morning Ma kalyppo friends have u grab yours today .People with kidney diseases, diabetes and cancer do not take carbonated drinks. Pray to God that at 72 years you'll be alive, strong and healthy enough to sip on some Kalypo!!! God has blessed this man.pls avoid #Flask full of something wai.#TheKalyppoChallenge.we r drinking it from now to Sunday.Kalyppo Ey3 De3 paaaaaaaaa.kiki #kalypoChallenge accepted Am  Osonoba Nana And #IAmForNana... And we believe in made in Ghana products. #NanaBa #MissKiki #AriseForChange #VOTENPP See More",10/5/16 7:49 AM,646,
The #Kingslayer accepted the Kalypo challenge!,10/5/16 8:22 AM,931,
I accept the kalypo challenge...#Changeiscoming#,10/5/16 9:47 AM,490,
Bernard Acheampong has added up to the Kalypo Challenge,10/5/16 12:02 PM,972,
Ann K. Dufie has also added up to the Kalypo Challenge,10/5/16 12:02 PM,1006,
Kobby Nhyira has added up to the Kalypo Challenge .... ,10/5/16 12:12 PM,519,
The Kalypo challenge hasn't  been bad though... Inspired by Nana Addo!,10/5/16 1:16 PM,947,
Ambismarkoppong Npp  has added up to Kalypo Challenge,10/5/16 1:37 PM,494,
Osonoba Wise King Solomon II has also accepted the Kalypo Challenge,10/5/16 2:05 PM,788,
Papa Yaw Benson on the Kalypo Challenge Move ,10/5/16 2:06 PM,790,
#one for the master One for the boy#.,10/5/16 2:08 PM,528,
Kalyppo is making money. Ahahaha,10/5/16 3:40 PM,821,
Nana Addo's Kalypo Challenge Alone Has Sold Many Audience Than Ndc's Manifesto . ,10/5/16 3:41 PM,814,
Time to post my Kalypo challenge pic .... Enough of people's pix commentary,10/5/16 4:13 PM,549,
Photos: The 'Kalypo Challenge' hits social media after Nana Addo's sip,10/5/16 4:29 PM,950,
Lol the #kalypochallenge turn Apple and Eve now.,10/5/16 4:46 PM,670,
I insisted on the l)))g)ligi straw. #kalypoChallenge #BuyMadeInGhana #Am4change,10/5/16 4:47 PM,69,
"Behold I've accepted the #kalypochallenge I believe in a leader who believes in Ghana I believe in a leader who is SHORT but Competent, Incorruptible, Selfless and a Visionary.  Not a leader who is Tall but Vissionless, Directionless, Corruption-infested and a Certified Thief.  #ICHOOSEKALYPOOVERVODKA... #ICHOOSENANAOVERJM #SAYNOTOAKPETESHILEADERSHIP #SAYNOTOALCHOHOL #GHANAMUSTWORKAGAIN #BELIEVEINGHANA #BELIEVEINNANAADDO #NANAB3BA See More",10/5/16 4:48 PM,341,
Nana Addo Jxt took a sip of kalypo and now it's a hot cake commodity and short in supply.  Will launch my kalypo challenge soon and whoever I challenge must accept it.,10/5/16 4:50 PM,522,
My bro and same bearer Nana Afriyie also accepted the Kalypo Challenge,10/5/16 5:23 PM,964,
kalypo heyng)) naakpa The#kalypoChallenge,10/5/16 5:34 PM,438,
#kalypochallenge,10/5/16 5:49 PM,595,
I can't be left out...... Kalypo challenge still on going............ Nana we trust.......,10/5/16 6:11 PM,994,
Nana Addo's Kalypo Challenge Alone Has Sold Many Audience Than Ndc's Manifesto . ,10/5/16 6:15 PM,836,
#kalypochallenge #AWURADEKASA,10/5/16 6:38 PM,718,
And I accept the KALYPO challenge.,10/5/16 6:38 PM,937,
Challenge Accepted Kojo Kese My Brother #kalypochallenge,10/5/16 6:40 PM,286,
#kalypochallenge #multifuita #nanabeba,10/5/16 6:45 PM,678,
#GhanaCelebrities:  Want To Join The #KalypoChallenge? – Photo Of Nana Addo Sipping Drink Has Sparked The Latest Social Media Fad,10/5/16 6:49 PM,484,
"Ok. So #kalypochallenge is ongoing and we are wondering which is your favourite flavour? Did you know you could get #kalyppo at #TikklesRoyalPUB anyday, anytime? Pass through........",10/5/16 6:53 PM,37,
"Ok. So #kalypochallenge is ongoing and we are wondering which is your favourite flavour? Did you know you could get #kalyppo at #TikklesRoyalPUB anyday, anytime? Pass through........",10/5/16 6:53 PM,1082,
"Kalypo fruit drink must be the hottest commodity on the market right about now! Ghana's Social media landscape was swamped with photos of people sharing photos of their Kalypo moments after the New Patriotic Party (NPP) flagbearer, Nana Akufo Addo was pictured sipping his Kalypo. [  61 more words ]",10/5/16 6:58 PM,105,
Oh what a feeling!!....Kalypo dey bee k3k3. Don't ask me about my #KalypoSelfie cos my phone doesn't have a front camera ................. #KalypoChallenge #PolishingTheShoeOfASeniorLawyer,10/5/16 7:18 PM,196,
PHOTOS: Social media goes crazy for Kalypo after Nana Addo was spotted sipping one #KalypoChallenge #KalypoChallenge #Entertainment #PeopleLifestyle,10/5/16 7:22 PM,425,
PHOTOS: Social media goes crazy for Kalypo after Nana Addo was spotted sipping one #KalypoChallenge ,10/5/16 7:23 PM,756,
#KalyppoChallenge,10/5/16 7:29 PM,911,
#KalypoChallenge is trending. I want a Kalypo photo with Nenyi George Andah for my page. Who do you want for your #KalypoChallenge,10/5/16 7:42 PM,51,
#KalypoChallenge is trending. I want a Kalypo photo with Nenyi George Andah for my page. Who do you want for your #KalypoChallenge,10/5/16 7:42 PM,1099,
The new challenge in GH😂 How many likes for: #kalypochallenge #drinkitlikenana #kalypotheories... #election2016 #kalypo #kalypopowers #kalypoisbae😜 #kalypoforelections See More,10/5/16 7:55 PM,362,
Agyei Serwaa Bawmia Kalypo challenge accepted,10/5/16 8:01 PM,536,
I am definitely posting my kalypo moment too!made in Ghana .#sipitlike nana.,10/5/16 8:05 PM,376,
The kalypo challenge is on. Am posting mine tomorrow.,10/5/16 8:07 PM,997,
😂😂😂😂😂😂 Ghana paaa ni,10/5/16 8:13 PM,597,
# kalypochallenge.,10/5/16 8:25 PM,717,
So now there's a #kalypochallenge eiiiii ghanafo),10/5/16 8:32 PM,446,
www.ghanacelebrities.com/…/want-join-kalypochallenge-photo…/,10/5/16 8:41 PM,1032,
"NPP sells; because of Nana Addo soothing himself with chilled kalyppo, the product has received massive patronage and endorsement.",10/5/16 8:44 PM,535,
He's got the midas touch. Everything Nana touches turns to Gold. #kakypotime #kalypochallenge #changeishere,10/5/16 8:54 PM,237,
"Nana Addo believes in developing Ghanaian industries and he proves it! #KalyppoChallenge #KalypoChallenge I nominate the following people Sharon Sharpe-Peters, Nana Awere Damoah, K Amigosten Amoah, Angel Poku, Kwabena Poku, Ebow Gaisie, Kob'na Fayinka let's go!",10/5/16 8:55 PM,450,
😂😂😂,10/5/16 8:55 PM,1024,
So I just heard that  there is a #kalypochallenge 😂😂😂,10/5/16 8:57 PM,151,
PHOTOS: Social media goes crazy for Kalypo after Nana Addo was spotted sipping one #KalypoChallenge https://t.co/xWqEgK12IT,10/5/16 9:16 PM,1011,
Fauziya Ali relax and sip on some kalypo. You go follow #kalypoChallenge get heart attack ooo,10/5/16 9:17 PM,246,
#KalyppoChallenge,10/5/16 9:28 PM,571,
#kalypochallenge,10/5/16 9:32 PM,716,
#kalypochallenge,10/5/16 9:44 PM,676,
#kalypo challenge.  Vex for your Conner,10/5/16 10:03 PM,935,
Oh I love #Kalyfie4Change #ChangeWeMust. We Du All.,10/5/16 10:07 PM,447,
Surely Kalypo sales have gone up. They must go up. #KalypoChallenge,10/5/16 10:22 PM,114,
#kalypochallenge with Nana Akuffo Addo and Nenyi George Andah,10/5/16 10:41 PM,220,
#KalypoChallenge  So where's the branding/ marketing guys?  Opportunities like this you should never miss!,10/5/16 10:50 PM,225,
Can't wait to join the #KalypoChallenge tomorrow. ,10/5/16 10:55 PM,445,
So what is this #KalypoChallenge about?,10/5/16 11:03 PM,146,
I can't think far,10/5/16 11:23 PM,316,
"my Kalypo is ready for Sunday NPP MANIFESTO launch. Don't forget to bring yours.@ International Trade Fair Center, La Accra. 09.10.2016.",10/5/16 11:28 PM,197,
Retweeted I'M FOR NANA (@asantedehye3):,10/5/16 11:51 PM,863,
Ghanafoɔ kasa! The comments are hilarious 😂😂😂,10/6/16 2:55 AM,551,
I love this,10/6/16 5:18 AM,800,
#Kalypochallenge loading.. #iamforNANA,10/6/16 7:54 AM,444,
This Kalypo challenge is bcoming serious...jux saw this,10/6/16 8:34 AM,787,
I call that mental slavery!,10/6/16 8:50 AM,577,
NPP presidential aspirant captured having a sip of Kalypo and sparking off a social media frenzy.,10/6/16 8:53 AM,73,
Eiiii,10/6/16 9:01 AM,910,
Ghana president,10/6/16 9:10 AM,588,
Kalypo sipping challenge. Nana Addo's brand is so powerful. Let opana try lest the company's fortunes dwindle. #kalypochallenge #nanab3ba #promotingmadeinghanagoods,10/6/16 9:31 AM,378,
My office is ready for the #KalypoChallenge,10/6/16 9:40 AM,38,
Just accepted the #kalypochallenge with @Nanaakuffoaddo @urlsaekuful.,10/6/16 9:52 AM,113,
#Kalypo_Challenge,10/6/16 10:00 AM,640,
#kalypochallenge,10/6/16 10:02 AM,860,
BRA KWASI IS SIPPING KALYPPO #kalypochallenge #FANTASTIC-KALYPPO,10/6/16 10:15 AM,723,
Voilà,10/6/16 10:33 AM,637,
#kalypochallenge,10/6/16 10:39 AM,885,
